"InfluencerStandardized","standardizedCount","influencerList","platform"
"undefined",262," ???, -, --, :, ?, ??, ??????????????, ., .., ..., ...., ........, @, /, =, 🏴, 0800-0113, 1, 113, 13, 2, 3, 433, 433., 6, 678, 8, Косово је Србија!!!!!!!, x, X, 433 nl, 433 NL, 433nl, 433NL, f1, F1, Me, o, xx, bk_.010, bk._010, C, @jk, ap, B, CG5, CW, DT023, fa, fr1908, Gz.14, H, Hj, in, j´h, j7, je, jn, K2, km, N.M, r9, rj_2010, rl, s, s.0181p, ss, T41, T5G, wd 40, z","tiktok_account"
"zaargoedemans",146,"zaar goedemans, Zaar goedemans, Zaar Goedemans, zaar.goedemans, zaargoedemans, Zaargoedemans, Zaargoedemans., zaar goedmans, zaargoedmans, Zaargoedmans, zaar goedeman, zaargoedeman, zaargoedenmans, saargoedemans, Zaargoedemands, zaargoedsmans, zaargroedemans","tiktok_account"
"feyenoord",128,"@feyenoord, feyenoord, Feyenoord, Feyenoord., feynoord, Feyenoordv1","tiktok_account"
"jadeanna",125,"@jadeanna, jade anna, Jade anna, Jade Anna, Jade ANNA, Jade Anna., Jade-anna, Jade-Anna., jadeanna, Jadeanna, jadeannaa, yade anna","tiktok_account"
"enzoknol",43,"enzo knol, Enzo knol, Enzo Knol, enzoknol, Enzoknol, ENZOKNOL2, enzo kno, Enzosnol","tiktok_account"
"duncantromp",39,"@duncantromp, duncan tromp, Duncan tromp, Duncan Tromp, Duncan Tromp., duncantromp, Duncantromp, Ducan Tromp, ducantromp, Duncan trump, Duncantrump, duncen tromp, Duncen tromp, duncantromph","tiktok_account"
"mrbeast",39,"mr beast, mr Beast, Mr beast, mr beast2, mr beast3, mr. beast, mr.beast, Mr.beast, mrbeast, Mrbeast, MrBeast, MRBEAST, Mrbeast., mrbeast6000, mr baest","tiktok_account"
"bankzitters",38,"bankzitters, Bankzitters, Bankzitters., bankziters, bnkzitters","tiktok_account"
"nee",34,"nee, Nee, NEE, nba, Nba, NBA, nej, noa, Noa, NEY., Nhl, nvt","tiktok_account"
"vrienden",31,"vrienden, Vrienden, vriendin, Vriendin, vriend 1, vriend 2","tiktok_account"
"realmadrid",29,"@realmadrid, real madrid, Real madrid, Real Madrid, REAL MADRID, Real madrid., realmadrid, reamadrid","tiktok_account"
"espn",28,"espn, Espn, ESPN, espn nl, Espn nl, Espnnl, espnl","tiktok_account"
"rhodekok",27,"rhode ko0k, rhode kok, Rhode kok, Rhode Kok, Rhode kok., rhodekok, Rhodekok, Rhodé kok, Rhodé Kok, Rhodè kok, rhodeekok","tiktok_account"
"mezelf",25,"`mezelf, mezelf, Mezelf, myself, Mexelf, myzelf","tiktok_account"
"katiefang",22,"katie fang, Katie fang, Katie Fang, katiefang, Katiefang, Katiefang., Katie Lang.","tiktok_account"
"taylorswift",19,"@taylorswift, taylor swift, Taylor swift, Taylor Swift, Taylor Swift., taylorswift, Taylorswift, TaylorSwift.","tiktok_account"
"idk",18,"idk, ik, Ik, kim k, Kim k, rijk, Nick., Rick","tiktok_account"
"isae",17,"@ISAE, isae, Isae, ISAE, isea, Islam","tiktok_account"
"touzani",17,"@touzani, touzani, Touzani, Touzani., tuzani","tiktok_account"
"khabylame",17,"khaby lame, Khaby lame, Khaby Lame, Khaby Lame., khabylame, Khabylame, khabe lame, Khabe lame, khabi lame, Khaby lamé","tiktok_account"
"ronaldo",17,"ronaldo, Ronaldo, RONALDO, Ronaldo., roanldo9","tiktok_account"
"championsleague",16,"champions league, Champions league, Champions League, Champions league., championsleague, champions leauge, Champions leaugue","tiktok_account"
"fortnite",15,"fortnite, Fortnite, ogfortnite","tiktok_account"
"mdemma",15,"mdemma, Mdemma, MdEmma, MDemma, MDEMMA","tiktok_account"
"kyliejenner",14,"@kyliejenner, kylie jenner, Kylie jenner, Kylie Jenner, kyliejenner","tiktok_account"
"weetikniet",14,"weet ik niet, Weet ik niet, WEET IK NIET, weet niet","tiktok_account"
"gio",13,"gio, Gio, gino, Milo., Lilo, niro, rico","tiktok_account"
"ishowspeed",13,"ishowspeed, Ishowspeed, IshowSpeed","tiktok_account"
"straykids",12,"@straykids, @Straykids, stray kids, Stray kids, Stray Kids., straykids, Straykids","tiktok_account"
"billieeilish",12,"billie eilish, Billie eilish, Billie Eilish, Billie Eilish., billieeilish, Billieeilish, Billie eilisch","tiktok_account"
"marijnkuipers",12,"marijn kuipers, Marijn kuipers, marijnkuipers, Marijnkuipers, marijnkijpers","tiktok_account"
"qucee",12,"qucee, Qucee, Qucee., qusee","tiktok_account"
"geen",11,"geen, Geen, Eten.","tiktok_account"
"geenidee",11,"geen idee, Geen idee","tiktok_account"
"bts",10,"@bts, bts, Bts, BTS, 2010_bmw, Bmw, BMW, bcc","tiktok_account"
"ajax",10,"ajax, Ajax, Jay","tiktok_account"
"fatoemakers",10,"fatoemakers, Fatoemakers, fattoemakers","tiktok_account"
"lieszhara",10,"lies zhara, Lies zhara, lies_zhara, lieszahra","tiktok_account"
"messi",10,"messi, Messi, Messi., 02mashi, mashi","tiktok_account"
"myronkoops",10,"myron koops, Myron koops, Myron Koops., myronkoops, Myronkoops, MyronKoops","tiktok_account"
"samandcolby",10,"sam and colby, sam and Colby, Sam and Colby, Sam and Colby., samandcolby","tiktok_account"
"barcelona",9,"barcelona, Barcelona, barcalona","tiktok_account"
"bender",9,"bender, Bender, fener, bencer","tiktok_account"
"charlidamelio",9,"Charli D'amelio, Charli D'Amelio, charli damelio, Charli damelio, charlidamelio, Charlidamelio, Charli damilio, charli demlio, Charli Dmelio","tiktok_account"
"vriendinnen",9,"vriendinnen, Vriendinnen, Vriendinnen.","tiktok_account"
"apson",8,"apson, Apson, jason","tiktok_account"
"kleinejohn",8,"kleine john, Kleine john, kleinejohn","tiktok_account"
"monstertube",8,"Monster tube, monstertube, Monstertube.","tiktok_account"
"royalistiq",8,"royalistiq, Royalistiq","tiktok_account"
"prive",7,"@prive, prive","tiktok_account"
"chatmo",7,"`chatmo, chatmo, Chatmo","tiktok_account"
"redbullracing",7,"`redbullracing, Red Bull racing, Redbull racing, redbullracing, RedBullRacing","tiktok_account"
"duncan",7,"duncan, Duncan, Duncan., duncen, Djuncan, ducan","tiktok_account"
"dylanpage",7,"Dylan page, Dylan Page, Dylan Page., dylan.page","tiktok_account"
"galatasaray",7,"galatasaray, Galatasaray","tiktok_account"
"kaicenat",7,"kai cenat, Kai cenat, Kai Cenat, kai_cenat, kai canat","tiktok_account"
"lanarhoades",7,"lana rhoades, Lana rhoades, Lana Rhoades, lanarhoades, Lanarhoades, lana rhodes, Lana Rhodes, Lana Rhodes., Lanarhoads","tiktok_account"
"mbappe",7,"mbappe, Mbappe","tiktok_account"
"miakhalifa",7,"mia khalifa, Mia khalifa, Mia Khalifa, Miakhalifa","tiktok_account"
"niemand",7,"niemand","tiktok_account"
"rhode",7,"rhode, Rhode, Rhodè","tiktok_account"
"samsulek",7,"sam sulek, Sam sulek, Sam Sulek, Samsulek, Sam Salek, Sam Silok.","tiktok_account"
"stijnsaman",7,"stijn saman, Stijn Saman., stijnsaman","tiktok_account"
"voetbal",7,"voetbal, Voetbal, voetbal.nl","tiktok_account"
"appelkaas",6,"appelkaas, Appelkaas, appelkaasje","tiktok_account"
"apsonarmy",6,"apsonarmy, Apsonarmy","tiktok_account"
"cestmocro",6,"C'est mocro, Cest mocro, cestmocro, Cestmocro, cesmocro","tiktok_account"
"centralcee",6,"central cee, Central Cee, Centralcee, Centralecee","tiktok_account"
"cristianoronaldo",6,"cristiano ronaldo, Cristiano ronaldo, Cristiano Ronaldo, Cristiano Ronaldo🐐🐐, CRISTIANORONALDO 7","tiktok_account"
"dumpert",6,"dumpert, Dumpert","tiktok_account"
"glenfontijn",6,"glen fontijn, Glen fontijn, glenn fontijn","tiktok_account"
"icespice",6,"ice spice, ICE spice, Ice Spice., icespice, Icespice","tiktok_account"
"monicageuze",6,"monica geuze, Monica geuze, monicageuze","tiktok_account"
"stuktv",6,"stuk tv, Stuk tv, stuktv, Stuktv","tiktok_account"
"zarajanice",6,"zara.janice, zarajanice, Zarajanice.","tiktok_account"
"fabrizioromano",5," fabrizioromano, fabrizio romano, Fabrizio Romano, Fabrizioromano, fabrizo romano, fabrizoromano","tiktok_account"
"benderbij",5,"@benderbij, benderbij, benderBij, Benderbij","tiktok_account"
"becurlybylaura",5,"Be curly by laura, becurlybylaura, bycurlybylaura","tiktok_account"
"brookemonk",5,"brooke monk, Brooke Monk., Brook mock, Brook Monke.","tiktok_account"
"callofduty",5,"call of duty, Call of Duty","tiktok_account"
"clix",5,"clix, Clix, Cloe","tiktok_account"
"datenedommeblondje",5,"datenedommeblondje","tiktok_account"
"dilaraselin",5,"dilara selin, dilaraselin","tiktok_account"
"fernandoalonso",5,"fernando alonso, Fernando alonso, Fernando Alonso, fernandoalonso","tiktok_account"
"formula",5,"Formula 1, Formula1, formule 1, Formule 1, Formule1.","tiktok_account"
"giolatooy",5,"gio latooy, Gio latooy, giolatooy, Giolatooy, giolatoy","tiktok_account"
"indyisabella",5,"Indy Isabella, indyisabella, Indyiisabella.","tiktok_account"
"katiesigmond",5,"katie sigmond, katiesigmond, Katiesigmond, Kati sigmond","tiktok_account"
"kenza",5,"kenza, Kenza","tiktok_account"
"mattsturniolo",5,"matt sturniolo, Matt sturniolo, mattsturniolo, Mattsturniolo","tiktok_account"
"meetmethere",5,"meet me there, meetmethere","tiktok_account"
"nosstories",5,"Nos stories, NOS Stories, NOS stories., nosstories, Nosstories, Nos stores","tiktok_account"
"onsoranje",5,"ons oranje, onsoranje, Onsoranje, OnsOranje","tiktok_account"
"psv",5,"psv, Psv, PSV, psg, PSG, ppsc 15","tiktok_account"
"quintymirjam",5,"quinty mirjam, Quinty mirjam, Quinty Mirjam, quintymirjam, Quintymirjam","tiktok_account"
"rapnieuws",5,"rapnieuws, Rapnieuws, Rapnieuws tv, Rapnieuwstv","tiktok_account"
"sannemyrthe",5,"sanne myrthe, Sanne Myrthe., sannemyrthe, Sannemyrthe1, sannexmirthe","tiktok_account"
"sihamsanad",5,"sihamsanad, Sihamsanad, sihamsanad_","tiktok_account"
"straykidsjapan",5,"Stray kids japan, Stray Kids japan, Stray kids Japan., Straykids Japan., Straykids_Japan.","tiktok_account"
"yadelauren",5,"yade lauren, yadelauren","tiktok_account"
"chief",4," chief, chief, Chief, chica","tiktok_account"
"samgolbach",4,"@samgolbach, Sam Golbach., samgolbach, Samgolbach","tiktok_account"
"addisonrae",4,"Addison Rae, addisonrae, Addisonrae, Addison ray, addisonre","tiktok_account"
"afcajax",4,"afc ajax, Afc ajax, AFC ajax, AFC Ajax","tiktok_account"
"alles",4,"alles, allah","tiktok_account"
"blackpink",4,"Black pink, blackpink","tiktok_account"
"boef",4,"boef, Boef, boeie","tiktok_account"
"bramkrikke",4,"Bram krikke, bramkrikke","tiktok_account"
"cardib",4,"cardi b, cardi B, Cardi B, Cardi B.","tiktok_account"
"charlesleclerc",4,"charles leclerc, Charles leclerc, charlesleclerc","tiktok_account"
"dannydragonball",4,"dannydragonball911, Dannydragonball911","tiktok_account"
"dave",4,"dave, jade, Jade, faye","tiktok_account"
"djes",4,"djes, Djes, Adje","tiktok_account"
"dondejong",4,"don de jong, Don de Jong, dondejong, dane de jong 11","tiktok_account"
"efteling",4,"efteling, Efteling, Efteling.","tiktok_account"
"fashiontiger",4,"fashion tiger, Fashion Tiger, fashiontiger, Fashiontiger","tiktok_account"
"fienecastillo",4,"fiene castillo, Fiene Castillo, fienecastillo, Fienecastillo","tiktok_account"
"fifa",4,"fifa, Fifa, FIFA, fifa24, Tina","tiktok_account"
"goudmijn",4,"goudmijn","tiktok_account"
"ikweetniet",4,"ik weet niet, ik weet niks","tiktok_account"
"juultjetieleman",4,"juultje tieleman, Juultje tieleman, juultjetieleman, Juultje Tielemans","tiktok_account"
"koen",4,"Koen, Koen., Koken","tiktok_account"
"laufey",4,"laufey","tiktok_account"
"maxverstappen",4,"Max verstappen, Max Verstappen, maxverstappen, Maxiestappen","tiktok_account"
"maximeensophie",4,"maxime en sophie, Maximeensophie","tiktok_account"
"mclaren",4,"mclaren, McLaren","tiktok_account"
"misha",4,"misha, Misha, ish, Isha., mish","tiktok_account"
"mrlust",4,"Mr lust, mrlust, Mrlust, mrlustfn","tiktok_account"
"nos",4,"nos, Nos, NOS, Don, 5SOS, mo, moe, o.ob","tiktok_account"
"pietervalley",4,"Pieter valley, Pieter Valley, pietervalley, Pieter valey","tiktok_account"
"redbull",4,"red bull, Red Bull, redbull, Redbull","tiktok_account"
"selma",4,"selma, HEMA, Je ma, Sem, sera","tiktok_account"
"selmaomari",4,"selma omari, Selma Omari, Selma OMari","tiktok_account"
"spartarotterdam",4,"sparta rotterdam, Spartarotterdam, spartarotterdam010, spartarotterdam1","tiktok_account"
"stefandevries",4,"stefan de vries, Stefan de vries","tiktok_account"
"supergaande",4,"supergaande","tiktok_account"
"thierrybaudet",4,"thierry baudet, Thierry Baudet, thierry_baudet, theirrybaudet, Thiery baudet","tiktok_account"
"txtbighitent",4,"txt.bighitent","tiktok_account"
"ufc",4,"ufc, Ufc, UFC, ucl, UCL","tiktok_account"
"weetikveel",4,"weet ik veel","tiktok_account"
"zaragoedemans",4,"zara goedemans, Zara Goedemans, zaragoedemans","tiktok_account"
"colbybrock",3,"@colbybrock, Colby Brock., Colbybrock","tiktok_account"
"timonverbeeck",3,"@timonverbeeck, timonverbeeck","tiktok_account"
"minuutvoorallah",3,"1minuutvoorallah, 1minuutvoorAllah, minuutvoorallah","tiktok_account"
"akhiayman",3,"akhi ayman, Akhi Ayman, Akhi aymen","tiktok_account"
"andrewtate",3,"Andrew tate, Andrew Tate","tiktok_account"
"arianagrande",3,"ariana grande, Ariana grande, arianagrande","tiktok_account"
"betasquad",3,"Beta squad., betasquad","tiktok_account"
"breckiehill",3,"Breckie hill, Breckie Hill, Breckiehill","tiktok_account"
"brittdekker",3,"britt dekker, Britt dekker, Brittdekker","tiktok_account"
"camavinga",3,"camavinga, Camavinga","tiktok_account"
"charbonn",3,"charbonn, Charbonn","tiktok_account"
"creachick",3,"creachick, Creachick","tiktok_account"
"cristiano",3,"cristiano, Christian.w","tiktok_account"
"devon",3,"Devon, debo, Devom","tiktok_account"
"divaio",3,"divaio, Divaio, divaioyt","tiktok_account"
"enhypen",3,"enhypen, Enhypen.","tiktok_account"
"eredivisie",3,"eredivisie, Eredivisie","tiktok_account"
"ericdasilva",3,"eric dasilva, ericdasilva","tiktok_account"
"espnmma",3,"espn mma, Espnmma","tiktok_account"
"famkehanna",3,"famkehanna, Famkehanna, famkexhannah","tiktok_account"
"farthunder",3,"farthunder, fart thunder","tiktok_account"
"finneas",3,"finneas, Finneas","tiktok_account"
"foryou",3,"foryou","tiktok_account"
"geeneen",3,"geen een","tiktok_account"
"ginasingels",3,"gina singels, ginasingels","tiktok_account"
"glenfontein",3,"glen fontein, Glen Fontein., Glwn fontein","tiktok_account"
"guusjewillemse",3,"guusje.willemse","tiktok_account"
"hallo",3,"hallo","tiktok_account"
"hitler",3,"hitler, Hitler","tiktok_account"
"hoopangel",3,"hoop.angel, hoopangels","tiktok_account"
"ikweetdenamenniet",3,"ik weet de namen niet, Weet de namen niet","tiktok_account"
"ikweetophetmomentgeen",3,"ik weet op het moment geen","tiktok_account"
"iliasvieto",3,"ilias vieto, Ilias vieto, iliasvietto, iliasvietto17, Illiasvietto, illiasvietto17, iliasvetto17","tiktok_account"
"jemoeder",3,"je moeder, Je moeder","tiktok_account"
"jesseantonio",3,"jesse antonio, jesseantonio","tiktok_account"
"jevader",3,"jevader, jevader010, Ja vaderb","tiktok_account"
"jungkook",3,"jungkook, Jungkook","tiktok_account"
"kaesutherland",3,"kae sutherland, kaesutherland, kaesunderland","tiktok_account"
"kallmekris",3,"kallmekris, Kallmekris","tiktok_account"
"kanyewest",3,"kanye west, Kanye west","tiktok_account"
"katiefanggg",3,"katiefanggg, Katiefanggg","tiktok_account"
"kellymexy",3,"kelly mexy, kellymexy","tiktok_account"
"kimkardashian",3,"kim kardashian, kimkardashian, KimKardashian, Kim Kardaishan","tiktok_account"
"kristysnepvangers",3,"kristy snepvangers, Kristy snepvangers, Kristy Snepvangers.","tiktok_account"
"landonorris",3,"Lando norris, landonorris","tiktok_account"
"liverpool",3,"liverpool, Liverpool, liverpool FC, Liverpool FC","tiktok_account"
"manchestercity",3,"Manchester city, Manchester City, manchestercity","tiktok_account"
"mijnvrienden",3,"mijn v3rienden, mijn vrienden, Mijn vrienden, Mijn vriendin.","tiktok_account"
"mijzelf",3,"mijzelf, Mijzelf.","tiktok_account"
"mongraal",3,"mongraal, Mongraal","tiktok_account"
"musty",3,"musty, jushy","tiktok_account"
"niallhoran",3,"niall horan, Niall Horan., Niallhoran","tiktok_account"
"nickeh",3,"nick eh 30, Nick eh 30","tiktok_account"
"nickiminaj",3,"nicki minaj, Nicki Minaj, NickiMinaj, nikki minaj","tiktok_account"
"nietjezaak",3,"Niet je zaak","tiktok_account"
"nike",3,"nike, Nike., nikée, niks, Niks, nity18","tiktok_account"
"nolan",3,"nolan","tiktok_account"
"notyours",3,"Not yours","tiktok_account"
"paraduze",3,"paraduze, Paraduze, Paraduze.","tiktok_account"
