"municipality_name","population_density","percentage_female","young_age_perc","percentage_married","nl_origin_perc","percentage_non_eu_migrants","household_with_children_perc","housing_density","housing_property_value_avg","housing_owner_occupied_perc","housing_rental_housing_perc","avg_educational_level","labor_net_participation_rate","income_standardized_household_income_avg","income_household_wealth_median","social_benefits_percentage","care_youth_recipients_in_kind_perc","average_distance_general_practitioner","average_distance_large_supermarket","average_distance_childcare","average_distance_school","percentage_water","degree_of_urbanization"
"Rotterdam",9965,47.79,26.35,19.91,38.76,44.7,13.78,53.3,407,27,73,2.34,71,38.5,9.7,7.65,4.8,0.6,0.4,0.5,0.7,15.37,1
"Hoek van Holland",744,50.95,24.81,39.96,82.15,9.38,32.96,4.16,NA,43,57,1.96,72,38.6,94.4,6.82,8.9,0.9,0.7,0.6,0.7,23.42,3
"Rozenburg",2756,50.72,26.89,39.81,73.07,16.49,35.37,12.86,265,55,45,1.84,69,36.6,89.2,7.3,9.7,1.2,0.6,0.6,0.8,30.46,3
"Barendrecht",2493,50.85,30.04,43.4,71.43,22.17,43.61,10.09,421,69,30,2.08,74,44,237.8,5.06,8.6,1.4,1.3,0.6,0.8,9.89,2
"Capelle aan den IJssel",4777,51.6,27.06,36.49,59.83,31.64,33.48,22.27,310,54,46,2.05,69,37,100.1,7.11,13.9,0.8,0.7,0.5,0.7,8.18,2
"Vlaardingen",3214,51.35,26.91,36.57,64.15,25.39,32.63,15.55,278,47,53,1.91,69,35.3,50.6,8.2,6.7,0.8,0.8,0.5,0.6,12.48,1
"Lansingerland",1216,50.74,32.29,41.88,78.24,15.99,47.79,4.67,479,74,26,2.18,77,47.5,306.6,4.28,10.1,1,1,0.8,0.8,5.53,3
"Albrandswaard",1217,50.51,29.18,42.25,75.24,18.21,43.14,4.95,431,70,30,2.11,75,45.5,246.8,5.31,8.4,0.9,0.9,0.8,0.8,8.8,3
"Voorne aan Zee",607,50.53,24.84,43.47,80.86,11.8,34.08,2.75,369,67,33,1.98,70,42,176.9,5.94,8.3,1.3,1,1.1,0.9,35.85,3
"Ridderkerk",2022,51.68,26.47,42.27,76.24,17.81,34.4,9.19,331,57,43,1.92,71,38.2,122.3,6.38,9.7,1,0.8,0.5,0.6,7.09,2
"Maassluis",4180,50.94,27.29,41.41,68.73,23.47,34.69,19,304,54,46,1.97,70,37.9,96.4,7.14,6,1.4,0.8,0.6,0.6,16.6,2
"Nissewaard",1184,51.01,26.74,40.03,71.27,20.78,35.82,5.46,279,59,41,1.91,69,37.1,102.6,7.61,13.2,0.8,0.8,0.7,0.7,12.51,2
"Goeree-Overflakkee",197,50.75,27.01,46.9,90.86,4.87,34.27,0.86,347,65,35,1.9,74,40.1,183.3,5.35,8.8,1.2,1.1,0.7,0.7,37.92,4
"Schiedam",4528,50.24,27.16,34.04,52.92,33.45,33.13,21.39,288,49,51,1.93,70,35.5,49.1,7.79,6.1,0.8,0.6,0.5,0.6,10.32,1
"Krimpen aan den IJssel",3845,51.91,29.38,43.66,80.63,14.27,37.65,16.39,354,60,40,1.97,72,39.2,160.5,5.39,12.8,1.5,0.8,0.5,0.7,14.3,2